line_number,msg,﻿B,P-010938,1,0000 ,   ,Building Line,BL        
7880,"Expected 7 columns, found 9 columns",B,P-334360,8,0280 ,   ,TAXI HAILING (SYMBOL) TAXI STAND <-> (SUPERSEDES SP-327B,SP-433B, SP-555B & SP-557B)                                                                                    ,PS-10E    
7952,"Expected 7 columns, found 9 columns",B,P-334434,3,0123 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
7956,"Expected 7 columns, found 9 columns",B,P-334434,7,0231 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
7960,"Expected 7 columns, found 9 columns",B,P-334435,3,0044 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
7980,"Expected 7 columns, found 9 columns",B,P-334437,2,0007 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
7982,"Expected 7 columns, found 9 columns",B,P-334437,4,0198 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
8089,"Expected 7 columns, found 9 columns",B,P-334443,7,0327 ,W  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
8096,"Expected 7 columns, found 9 columns",B,P-334444,3,0037 ,W  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
8130,"Expected 7 columns, found 9 columns",B,P-334448,5,0185 ,E  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
8133,"Expected 7 columns, found 9 columns",B,P-334448,8,0216 ,   ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
8186,"Expected 7 columns, found 9 columns",B,P-334453,7,0264 ,E  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
8228,"Expected 7 columns, found 9 columns",B,P-334456,7,0391 ,W  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
8231,"Expected 7 columns, found 9 columns",B,P-334456,10,0493 ,E  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
8273,"Expected 7 columns, found 9 columns",B,P-335579,3,0026 ,E  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
8461,"Expected 7 columns, found 9 columns",B,P-335926,3,0043 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
8799,"Expected 7 columns, found 8 columns",B,P-335992,5,0180 ,   ,NO STANDING<---->HANDICAP BUS STOP(SYMBOL) W/4 ROUTES +(15X12,4 ROUTE RIDER-IF NECESSARY);REVISED 2/14/94 & SUPERSEDES SP-298B.                                         ,R7-61     
8973,"Expected 7 columns, found 9 columns",B,P-336263,9,0366 ,N  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
8994,"Expected 7 columns, found 9 columns",B,P-336268,3,0074 ,N  ,TAXI HAILING (SYMBOL) TAXI STAND --> (SUPERSEDES SP-327BA, SP-433BA, SP555BA & SP-557BA)                                                                                ,PS-10EA   
9023,"Expected 7 columns, found 9 columns",B,P-336270,3,0052 ,S  ,NO STANDING ANYTIME --> (SUPERSEDES SP-1044BA, SP-10BA, SP-216BA & SP-270BA)                                                                                            ,PS-1GA    
